offer_id,invite_id,invite_created_at,invite_invitation_state,invite_state,invite_first_viewed_at,invite_material_id,invite_min_deal_quantity_kg,invite_max_deal_quantity_kg,selling_company_id,buying_org_id
2578,2579,2019-03-27 16:19:55.012108+00:00,ORDERED,SOLD_OUT,2019-03-28 09:16:51.829000+00:00,82664050,0.0,48000.0,22,38
2582,2583,2019-03-27 16:27:28.288513+00:00,ORDERED,SOLD_OUT,2019-03-28 09:19:36.643000+00:00,82664050,0.0,64000.0,22,38
2584,2585,2019-03-27 17:05:48.696556+00:00,ORDERED,SOLD_OUT,2019-03-28 08:31:37.198000+00:00,82664050,0.0,256000.0,22,351
2598,2599,2019-04-01 06:44:49.314005+00:00,ORDERED,SOLD_OUT,2019-04-01 08:30:28.981000+00:00,82664050,0.0,96000.0,22,38
2602,2603,2019-04-01 06:51:13.381409+00:00,ORDERED,SOLD_OUT,2019-04-01 07:20:30.544000+00:00,82664050,0.0,96000.0,22,40
2612,2613,2019-04-03 17:44:47.560686+00:00,ORDERED,SOLD_OUT,2019-04-09 07:37:50.152000+00:00,82664050,0.0,96000.0,22,36
2616,2617,2019-04-03 17:49:05.026506+00:00,ORDERED,SOLD_OUT,2019-04-09 07:55:43.999000+00:00,82664050,0.0,32000.0,22,36
2620,2621,2019-04-03 17:53:26.707384+00:00,ORDERED,SOLD_OUT,2019-04-05 13:39:23.451000+00:00,82664050,0.0,96000.0,22,40
2919,2920,2019-04-24 07:29:12.019340+00:00,ORDERED,SOLD_OUT,2019-04-24 09:46:29.313000+00:00,2607925,0.0,24000.0,2796,2835
2923,2924,2019-04-24 07:38:15.557860+00:00,ORDERED,SOLD_OUT,2019-04-24 09:56:38.426000+00:00,82202073,0.0,24000.0,2796,2835
2925,2926,2019-04-24 07:41:48.208427+00:00,INVALID,EXPIRED,2019-04-24 14:18:54.210000+00:00,82202073,0.0,24000.0,2796,2837
2929,2930,2019-04-24 07:51:22.671372+00:00,ORDERED,EXPIRED,2019-04-24 14:21:28.727000+00:00,242016,0.0,72000.0,2796,2837
2933,2934,2019-04-24 07:54:09.960235+00:00,ORDERED,SOLD_OUT,2019-04-24 14:07:36.414000+00:00,2375501,0.0,48000.0,2796,2837
2937,2938,2019-04-24 09:15:50.889924+00:00,INVALID,EXPIRED,2019-04-24 10:01:12.129000+00:00,82664050,0.0,64000.0,22,1745
2969,2970,2019-04-24 10:18:14.752476+00:00,INVALID,EXPIRED,,2544613,0.0,23000.0,2796,2829
2972,2973,2019-04-24 11:18:21.506299+00:00,INVALID,EXPIRED,,242016,0.0,69000.0,2796,2829
2976,2977,2019-04-24 11:24:08.174484+00:00,INVALID,EXPIRED,,2607925,0.0,69000.0,2796,2829
3061,3062,2019-04-26 10:07:16.796721+00:00,INVALID,EXPIRED,2019-04-29 00:43:23.257000+00:00,84016099,0.0,320000.0,2940,2963
3061,3063,2019-04-26 10:07:16.812541+00:00,ORDERED,EXPIRED,2019-04-28 02:02:06.458000+00:00,84016099,0.0,320000.0,2940,3022
3061,3064,2019-04-26 10:07:16.826053+00:00,INVALID,EXPIRED,,84016099,0.0,320000.0,2940,3024
3061,3065,2019-04-26 10:07:16.839488+00:00,INVALID,EXPIRED,,84016099,0.0,320000.0,2940,3025
3061,3066,2019-04-26 10:07:16.852678+00:00,INVALID,EXPIRED,,84016099,0.0,320000.0,2940,3026
3061,3067,2019-04-26 10:07:16.866213+00:00,INVALID,EXPIRED,2019-04-28 00:27:13.057000+00:00,84016099,0.0,320000.0,2940,3027
3061,3068,2019-04-26 10:07:16.879683+00:00,INVALID,EXPIRED,,84016099,0.0,320000.0,2940,3028
3071,3072,2019-04-26 12:44:40.673696+00:00,INVALID,EXPIRED,,242016,0.0,240000.0,2796,2817
3073,3074,2019-04-26 12:49:52.845675+00:00,INVALID,EXPIRED,,2607925,0.0,280000.0,2796,2817
3086,3087,2019-04-26 13:13:26.061391+00:00,ORDERED,EXPIRED,2019-04-29 13:31:57.881000+00:00,2375501,0.0,75000.0,2796,2831
3090,3091,2019-04-26 13:17:37.867373+00:00,ORDERED,SOLD_OUT,2019-04-29 13:33:27.043000+00:00,1543729,0.0,52000.0,2796,2831
3094,3095,2019-04-26 13:22:57.719508+00:00,ORDERED,SOLD_OUT,2019-04-29 13:25:56.874000+00:00,2416860,0.0,78000.0,2796,2831
3100,3101,2019-04-26 13:27:28.635492+00:00,INVALID,EXPIRED,2019-04-29 13:29:10.803000+00:00,81351687,0.0,52000.0,2796,2831
3106,3107,2019-04-26 13:31:36.499623+00:00,ORDERED,EXPIRED,2019-04-29 13:41:10.326000+00:00,242016,0.0,104000.0,2796,2831
3141,3142,2019-04-29 09:16:04.606389+00:00,ORDERED,EXPIRED,2019-04-29 16:11:00.868000+00:00,2607925,0.0,48000.0,2796,2835
3145,3146,2019-04-29 10:10:02.888324+00:00,ORDERED,EXPIRED,2019-04-29 13:30:17.815000+00:00,81351687,0.0,78000.0,2796,2831
3178,3179,2019-04-29 12:54:16.376308+00:00,ORDERED,EXPIRED,2019-04-29 13:36:05.151000+00:00,82664050,0.0,64000.0,22,1745
3193,3194,2019-04-29 13:40:15.114004+00:00,ORDERED,SOLD_OUT,2019-04-29 13:52:14.269000+00:00,2416860,0.0,26000.0,2796,2831
3197,3198,2019-04-29 13:44:38.466909+00:00,ORDERED,SOLD_OUT,2019-04-29 13:51:55.136000+00:00,1543729,0.0,26000.0,2796,2831
3250,3251,2019-04-30 07:45:07.780445+00:00,ORDERED,EXPIRED,2019-04-30 07:56:49.041000+00:00,82664050,0.0,32000.0,22,1745
3293,3294,2019-04-30 12:56:06.225702+00:00,INVALID,EXPIRED,2019-04-30 13:30:42.012000+00:00,242016,0.0,50000.0,2796,3289
3307,3308,2019-04-30 13:58:41.650920+00:00,INVALID,EXPIRED,,242016,0.0,25000.0,2796,3289
3311,3312,2019-05-01 07:22:00.046000+00:00,INVALID,EXPIRED,,242016,0.0,240000.0,2796,2817
3317,3318,2019-05-02 06:03:40.772168+00:00,ORDERED,SOLD_OUT,2019-05-02 11:33:15.369000+00:00,242016,0.0,25000.0,2796,3289
3323,3324,2019-05-06 08:17:10.094913+00:00,ORDERED,SOLD_OUT,2019-05-06 10:51:25.383000+00:00,82664050,0.0,96000.0,22,40
3327,3328,2019-05-06 08:24:22.569980+00:00,ORDERED,SOLD_OUT,2019-05-06 10:52:20.705000+00:00,82664050,0.0,96000.0,22,40
3343,3344,2019-05-07 08:55:47.889280+00:00,ORDERED,EXPIRED,2019-05-09 16:04:00.407000+00:00,82212389,0.0,144000.0,2796,2833
3347,3348,2019-05-07 08:58:51.760812+00:00,ORDERED,EXPIRED,2019-05-09 16:03:46.385000+00:00,242016,0.0,110000.0,2796,2833
3398,3399,2019-05-08 11:25:06.138495+00:00,ORDERED,SOLD_OUT,2019-05-09 09:48:31.884000+00:00,82664050,0.0,112000.0,22,343
3499,3500,2019-05-13 07:05:48.513981+00:00,ORDERED,SOLD_OUT,2019-05-13 07:14:31.972000+00:00,2607925,0.0,24000.0,2796,2835
3602,3603,2019-05-14 04:09:59.759026+00:00,ORDERED,SOLD_OUT,2019-05-14 10:48:35.889000+00:00,82664050,0.0,112000.0,22,335
3606,3607,2019-05-14 04:13:27.913536+00:00,ORDERED,SOLD_OUT,2019-05-14 10:46:35.783000+00:00,82664050,0.0,112000.0,22,335
3731,3732,2019-05-16 13:06:26.488574+00:00,INVALID,EXPIRED,2019-05-17 14:17:18.949000+00:00,4329957,0.0,210000.0,3690,3694
3731,3733,2019-05-16 13:06:26.505067+00:00,INVALID,EXPIRED,,4329957,0.0,210000.0,3690,3696
3731,3734,2019-05-16 13:06:26.520306+00:00,INVALID,EXPIRED,2019-05-20 11:33:21.965000+00:00,4329957,0.0,210000.0,3690,3697
3731,3735,2019-05-16 13:06:26.536416+00:00,INVALID,EXPIRED,,4329957,0.0,210000.0,3690,3698
3731,3736,2019-05-16 13:06:26.551464+00:00,INVALID,EXPIRED,,4329957,0.0,210000.0,3690,3699
3731,3737,2019-05-16 13:06:26.566125+00:00,INVALID,EXPIRED,2019-05-20 06:31:40.660000+00:00,4329957,0.0,210000.0,3690,3700
3731,3738,2019-05-16 13:06:26.580092+00:00,INVALID,EXPIRED,2019-05-17 14:27:40.847000+00:00,4329957,0.0,210000.0,3690,3701
3731,3739,2019-05-16 13:06:26.594476+00:00,INVALID,EXPIRED,,4329957,0.0,210000.0,3690,3702
3731,3740,2019-05-16 13:06:26.611131+00:00,INVALID,EXPIRED,2019-05-17 13:43:50.883000+00:00,4329957,0.0,210000.0,3690,3703
3756,3757,2019-05-20 12:20:33.023551+00:00,ORDERED,EXPIRED,2019-05-24 08:58:27.503000+00:00,242016,0.0,240000.0,2796,2817
3760,3761,2019-05-20 12:22:30.382204+00:00,ORDERED,SOLD_OUT,2019-05-24 09:01:27.139000+00:00,2607925,0.0,280000.0,2796,2817
3764,3765,2019-05-20 12:25:09.462407+00:00,INVALID,EXPIRED,,2375501,0.0,48000.0,2796,2837
3768,3769,2019-05-20 12:28:09.172263+00:00,ORDERED,EXPIRED,2019-05-30 05:56:34.008000+00:00,242016,0.0,48000.0,2796,2837
3770,3771,2019-05-20 12:30:54.238430+00:00,INVALID,EXPIRED,,242016,0.0,50000.0,2796,3289
3774,3775,2019-05-20 12:32:55.138921+00:00,INVALID,EXPIRED,2019-05-27 07:21:09.587000+00:00,82202073,0.0,48000.0,2796,2835
3776,3777,2019-05-20 12:34:52.430473+00:00,ORDERED,SOLD_OUT,2019-05-20 14:38:11.094000+00:00,2607925,0.0,48000.0,2796,2835
3780,3781,2019-05-20 12:37:15.357648+00:00,ORDERED,EXPIRED,2019-05-29 17:06:33.345000+00:00,2416860,0.0,130000.0,2796,2831
4702,4699,2019-06-27 17:17:25.898330+00:00,INVALID,EXPIRED,,557971,0.0,50175.0,3874,3863
