offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
100865,2020-03-20 17:38:05.769309+00:00,2020-03-20 17:42:00+00:00,2020-04-17 20:00:00+00:00,COMPLETED,EUR,74000,fixed_price_offer,23453,1.45
100870,2020-03-20 17:40:42.211800+00:00,2020-03-20 17:45:00+00:00,2020-04-17 20:00:00+00:00,COMPLETED,EUR,46000,fixed_price_offer,23453,2.0
10089,2019-08-23 06:53:46.183615+00:00,2019-08-23 12:15:00+00:00,2019-09-22 06:00:00+00:00,COMPLETED,EUR,20000,fixed_price_offer,2776,1.9
100909,2020-03-20 17:57:45.822342+00:00,2020-03-20 17:59:00+00:00,2020-04-17 20:00:00+00:00,COMPLETED,EUR,5175,fixed_price_offer,10200,2.900096618357488
100915,2020-03-20 18:23:53.434395+00:00,2020-03-23 12:00:00+00:00,2020-07-07 19:57:29.809307+00:00,COMPLETED,USD,17200,fixed_price_offer,17117,4.49999025
100950,2020-03-22 15:58:38.000401+00:00,2020-03-23 07:00:00+00:00,2020-03-25 15:40:03.551000+00:00,COMPLETED,EUR,44000,fixed_price_offer,270,1.95
100955,2020-03-22 16:01:09.926030+00:00,2020-03-23 07:00:00+00:00,2020-03-29 07:00:00+00:00,COMPLETED,EUR,88000,fixed_price_offer,270,1.95
100960,2020-03-22 16:03:20.887435+00:00,2020-03-23 07:00:00+00:00,2020-03-29 07:00:00+00:00,COMPLETED,EUR,88000,fixed_price_offer,270,1.95
101001,2020-03-22 16:06:43.131224+00:00,2020-03-23 07:00:00+00:00,2020-03-29 07:00:00+00:00,COMPLETED,USD,44000,fixed_price_offer,270,1.9499880409090908
101014,2020-03-22 16:27:06.068852+00:00,2020-03-23 07:00:00+00:00,2020-03-29 07:00:00+00:00,COMPLETED,USD,96000,fixed_price_offer,270,1.9000017625
101031,2020-03-22 16:45:41.693237+00:00,2020-03-23 12:30:00+00:00,2020-03-29 06:00:00+00:00,COMPLETED,USD,208000,fixed_price_offer,270,2.00000068125
10111,2019-08-23 08:42:09.582466+00:00,2019-08-23 08:55:00+00:00,2019-08-30 06:00:00+00:00,COMPLETED,USD,16000,fixed_price_offer,270,2.199998625
101125,2020-03-23 08:37:28.099915+00:00,2020-03-23 08:37:00+00:00,2020-03-30 01:00:00+00:00,COMPLETED,USD,18000,fixed_price_offer,31939,1.949985738888889
101140,2020-03-23 12:48:03.159582+00:00,2020-03-23 13:00:00+00:00,2020-03-30 07:00:00+00:00,COMPLETED,USD,60000,fixed_price_offer,270,1.9999948966666667
101161,2020-03-23 14:01:24.864417+00:00,2020-03-23 14:30:00+00:00,2020-03-23 14:28:13.663000+00:00,COMPLETED,EUR,9200,fixed_price_offer,93417,2.48
101170,2020-03-23 14:20:56.038809+00:00,2020-03-23 14:45:00+00:00,2020-03-27 16:00:00+00:00,COMPLETED,EUR,8050,fixed_price_offer,93417,2.2
